"","Pynam","pycomnam","MODCAT","GENCAT","GenSci","GenCom","ANALCAT","AnalSci","AnalCom","COLLCAT","CollSci","Collcom"
"1110","EUNICE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1111","EUNICE NORVEGICA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1112","EUNICE PENNATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1113","MARPHYSA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1114","MARPHYSA BELLI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1115","MARPHYSA SANGUINEA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1116","LUMBRINERIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1117","LUMBRINERIDES SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1118","LUMBRINERIDES ACUTA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1119","LUMBRINERIS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1120","LUMBRINERIS FRAGILIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1121","LUMBRINERIS LATREILLI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1122","LUMBRINERIS TENUIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1123","LUMBRINERIS GRACILIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1124","NINOE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1125","NINOE NIGRIPES",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1126","PARANINOE BREVIPES",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1127","ONUPHIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1128","DIOPATRA CUPREA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1129","NOTHRIA CONCHYLEGA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1130","ONUPHIS EREMITA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1131","ONUPHIS OPALINA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1132","MOOREONUPHIS NEBULOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1133","SARSONUPHIS QUADRICUSPIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1134","FLABELLIGERIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1135","BRADA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1136","BRADA VILLOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1137","DIPLOCIRRUS HIRSUTUS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1138","PHERUSA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1139","PHERUSA AFFINIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1140","PHERUSA ARENOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1141","PHERUSA PLUMOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1142","OPHELIIDA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1143","OPHELIIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1144","OPHELIA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1145","OPHELIA BICORNIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1146","OPHELIA DENTICULATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1147","OPHELINA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1148","OPHELINA AULOGASTER",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1149","OPHELINA ACUMINATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1150","TRAVISIA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1151","TRAVISIA CARNEA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1152","TRAVISIA FORBESII",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1153","SCALIBRAGMATIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1154","SCALIBREGMA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1155","SCALIBREGMA INFLATUM",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1156","COSSURA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1157","ORBINIIDA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1158","ORBINIIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1159","ORBINIA ORNATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1160","SCOLOPLOS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1161","SCOLOPLOS ACUTUS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1162","SCOLOPLOS FRAGILIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1163","PARAONIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1164","ARICIDEA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1165","ARICIDEA JEFFREYSI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1166","ARICIDEA QUADRILOBATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1167","CIRROPHORUS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1168","PARAONIS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1169","PARAONIS GRACILIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1170","OWENIIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1171","MYRIOCHELE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1172","MYRIOCHELE HEERI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1173","MYRIOCHELE HEERI TUBES",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1174","OWENIA FUSIFORMIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1175","PHYLLODOCIDA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1176","ALCIOPIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1177","VANADIS LONGISSIMA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1178","LAETMONICE FILICORNIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1179","GLYCERIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1180","GLYCERA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1181","GLYCERA AMERICANA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1182","GLYCERA CAPITATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1183","GLYCERA DIBRANCHIATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1184","GLYCERA ROBUSTA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1185","GONIADIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1186","GLYCINDE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1187","GLYCINDE SOLITARIA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1188","GONIADA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1189","GONIADA MACULATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1190","GONIADA NORVEGICA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1191","GONIADELLA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1192","GONIADELLA GRACILIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1193","OPHIOGLYCERA GIGANTEA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1194","HESIONIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1195","NEREIMYRA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1196","NEPHTYIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1197","AGLAOPHAMUS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1198","AGLAOPHAMUS CIRCINATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1199","AGLAOPHAMUS VERRILLI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1200","NEPHTYS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1201","NEPHTYS BUCERA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1202","NEPHTYS CAECA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1203","NEPHTYS CILIATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1204","NEPHTYS DISCORS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1205","NEPHTYS INCISA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1206","NEPHTYS LONGOSETOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1207","NEPHTYS PICTA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1208","NEREIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1209","CERATOCEPHALE LOVENI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1210","NEREIS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1211","NEREIS ACUMINATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1212","NEREIS GRAYI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1213","NEREIS PELAGICA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1214","NEREIS SUCCINEA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1215","NEREIS VIRENS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1216","NEREIS ZONATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1217","PHYLLODOCIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1218","ETEONE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1219","ETEONE FLAVA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1220","ETEONE HETEROPODA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1221","ETEONE LACTEA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1222","ETEONE LONGA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1223","ETEONE TRILINEATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1224","EULALIA VIRIDIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1225","EUMIDA SANGUINEA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1226","PARANAITIS SPECIOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1227","PHYLLODOCE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1228","PHYLLODOCE ARENAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1229","PHYLLODOCE GROENLANDICA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1230","PHYLLODOCE MACULATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1231","PHYLLODOCE MUCOSA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1232","POLYNOIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1233","ALENTIANA AURANTIACA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1234","ANTINOELLA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1235","ANTINOELLA ANGUSTA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1236","HARMOTHOE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1237","HARMOTHOE EXTENUATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1238","HARMOTHOE IMBRICATA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1239","LEPIDONOTUS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1240","LEPIDONOTUS SQUAMATUS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1241","SIGALIONIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1242","LEANIRA SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1243","PHOLOE MINUTA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1244","SIGALION SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1245","SIGALION ARENICOLA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1246","STHENELAIS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1247","STHENELAIS BOA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1248","STHENELAIS LIMICOLA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1249","SPHAERODORIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1250","SPHAERODORUM GRACILIS",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1251","SYLLIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1252","AUTOLYTUS SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1253","AUTOLYTUS ALEXANDRI",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1254","EXOGONE SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1255","EXOGONE VERUGERA",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
"1256","SYLLIDES SP",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","POLYCH","POLYCHAETA","POLYCHAETA"
